Code,Description (English),বর্ণনা,
3821117,Stipend/scholarship,বৃত্তি/মেধাবৃত্তি,
3821118,Funaral expeness,অন্ত্যেষ্টিক্রিয়া বাবদ ব্যয়,
3821119,Fuel expense,জ্বালানি ব্যয়,
3821120,Badding,বিছানাপত্র,
3821121,Water grant,পানি মঞ্জুরি,
3821122,Equity reinvestment,সমমূলধন (Equity) পুনর্বিনিয়োগ,
3821123,Support to Bank for rehabilitation of sick Industries,রুগ্ন শিল্প পুনর্বাসনে ব্যাংক কে দেয় সহায়তা,
3821124,Write off of loans advances,ঋণ ও অগ্রিম মওকুফ,
3821125,Income tax,আয়কর,
3821126,Grants for alternative income,বিকল্প আয়ের জন্য মঞ্জুরি,
3821127,Grants for rehabilitation,পুনর্বাসন সহায়তা,
3821128,Quarantine expense,সংগনিরোধক ব্যয়,
3821129,Destruction of destroyable goods,ধ্বংসযোগ্য মালামাল বিনষ্টকরণ,
3821199,"Transfer, Adjustment and Others (Capital)","স্থানান্তর, সমন্বয় ও অন্যান্য (মূলধন)",
3822,Capital transfers not elsewhere classified,মূলধন স্থানান্তর যা অন্যত্র শ্রেণিবদ্ধ নয়,
3823,Current transfers for projects,প্রকল্পের আবর্তক স্থানান্তর,
38231,Recurrent expenditure for projects,প্রকল্প আবর্তক ব্যয়,
3823101,Recurrent expenditure for projects,প্রকল্প আবর্তক ব্যয়,
3824,Incentives,প্রণোদনা,
38241,Primary production incentive,প্রাথমিক উৎপাদনে দেয় প্রণোদনা,
38242,Export incentives,রপ্তানি প্রণোদনা,
3824201,General export incentive,সাধারণ রপ্তানি প্রণোদনা,
3824202,Jute goods export incentive,পাটজাত দ্রব্য রপ্তানি প্রণোদনা,
38243,Other incentives,অন্যান্য প্রণোদনা,
3824301,Remittance incentive,রেমিট্যান্স প্রণোদনা,
383,"Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","অজীবনবিমা ও প্রমিত গ্যারান্টি স্কিম সম্পর্কিত প্রিমিয়াম, ফি ও দাবি",
3831,"Premiums, fees, and current claims","প্রিমিয়াম, ফি, ও চলতি দাবি",
38311,Premiums,প্রিমিয়াম,
38312,Fees for standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের জন্য ফি,
38313,Current claims,চলতি দাবি,
3831301,Refund of foreign currency on basis of claim,দাবীর ভিত্তিতে বৈদেশিক মুদ্রা ফেরত,
39,Reserve,সংরক্ষিত,
391,Reserve,সংরক্ষিত,
3911,Reserve,সংরক্ষিত,
39111,Reserve,সংরক্ষিত,
3911111,General block allocation,সাধারণ থোক বরাদ্দ,
3911112,Unexpected expenditure,অপ্রত্যাশিত ব্যয়,
4,Capital Expenditure,মূলধন ব্যয়,
41,Non financial assets,অআর্থিক সম্পদ,
411,Fixed assets,স্থায়ী সম্পদ,
4111,Buildings and structures,ভবন ও স্থাপনাসমূহ,
41111,Dwellings,বসবাসরত স্হাপনা,
4111101,Residential buildings,আবাসিক ভবন,
41112,buildings other than dewllings,বসবাস ব্যতীত ভিন্ন ভবন,
4111201,Non-residential buildings,অনাবাসিক ভবন,
41113,Other structures,অন্যান্য স্থাপনা,
4111301,Monuments,স্মৃতিসৌধ,
4111302,Roads & highways,সড়ক ও মহাসড়ক,
4111303,Bridges,সেতু,
4111304,Rural roads,গ্রামীণ সড়ক,
4111305,Culverts,কালভার্ট,
4111306,Irrigation structures,সেচ কাঠামো,
4111307,Drainage structures,নিকাশ (drainage) কাঠামো,
4111308,Sinking of tube well,নলকূপ স্থাপন,
4111309,Sanitation & water supply,স্বাস্থ্য বিধান (sanitation) ও পানি সরবরাহ,
4111310,Excavation,খনন,
4111311,Railway installations,রেলওয়ে স্থাপনা,
4111312,Telecommunication installation,টেলিযোগাযোগ স্থাপনা,
4111313,Lines and wires,লাইন ও তার,
4111314,Mast and aerials,খুঁটি ও এরিয়াল,
4111315,Small capital works,স্বল্প মূলধনি কাজ,
4111316,Gas line,গ্যাস লাইন,
4111317,Other buildings & structures,অন্যান্য ভবন ও স্থাপনা,
4111318,Tarmac/Runway,ট্যারমাক/রানওয়ে,
4111319,Shed,ছাউনি,
4111320,Play/Training Ground,খেলা/প্রশিক্ষণ মাঠ,
4111321,Embankment,বাঁধ,
4111322,Sluice gate,স্লুইস গেট,
4111323,Pump house,পাম্প হাউস,
4111324,Pillar Construction,পিলার রক্ষণাবেক্ষণ,
4111325,Interior decoration,অভ্যন্তরীণ শোভাবর্ধন,
4111326,Terminals,টা্মিনালসমূহ,
4111327,Graveyard/crematorium,কবরস্থান শশ্মানঘাট,
4111328,Foot Over bridge,পদচারী সেতু,
41114,Land improvements,ভূমি উন্নয়ন,
4111401,Landscaping,ল্যান্ডস্কেপিং,
41115,Railway installations,রেলপথ স্থাপনা ,
4111501,Track,রেলপথ,
4111502,Railway station and workshop buildings,রেলপথ স্টেশন এবং কারখানা বিল্ডিং,
4111503,Rail signal and interlocking works,রেল সিগনাল এন্ড ইন্টারলকিং,
4111504,Foot and road under/over bridge,রেল ফুট ওভার এন্ড আন্ডার ব্রীজ,
4111505,Tunnels,টানেল,
4112,Machinery and equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
41121,Transport equipment,পরিবহণ সরঞ্জামাদি,
4112101,Motor vehicle,মোটরযান,
4112102,Water vehicle,জলযান,
4112103,Aircraft,আকাশযান,
4112104,Rolling stock,রোলিং স্টক,
4112105,Under water vehicle,ডুবোজাহাজ,
4112106,Locomotives,রেল ইঞ্জিন,
4112107,Carriage,যাত্রীবাহী যান,
4112108,Wagon,মালবাহী যান,
4112109,Power Car,পাওয়ার কার,
4112110,Rail Car,রেল কার,
41122,Machinery and equipment other than transport equipment,পরিবহণ যন্ত্রপাতি ছাড়া অন্যান্য যন্ত্রপাতি ও সরঞ্জাম,
4112201,ICT equipments,তথ্য যোগাযোগ প্রযুক্তি সরঞ্জামাদি,
4112202,Computers and accessories,কম্পিউটার ও আনুষঙ্গিক,
4112203,Radio equipments,বেতার সরঞ্জামাদি,
4112204,Telecommunication equipments,টেলিযোগাযোগ সরঞ্জামাদি,
4112205,"Information, computer, and telecommunications (ICT) equipment", তথ্য যোগাযোগ প্রযুক্তি সরঞ্জামাদি,
4112206,Rail workshop machinery,রেল ওয়ার্কসপ  যন্ত্রপাতি,
4112207,Rail signal and inter-locking equipment,রেল সিগনাল এন্ড ইন্টারলকিং সরঞ্জামাদি,
41123,Machinery and equipment not elsewhere classified,যন্ত্রপাতি ও সরঞ্জাম যা অন্যত্র শ্রেণিবদ্ধ নয়,
4112301,Ballot box,ব্যালট বাক্স,
4112302,Camera and accessories,ক্যামেরা ও আনুষঙ্গিক,
4112303,Electrical equipment,বৈদ্যুতিক সরঞ্জামাদি,
4112304,Engineering and other equipments,প্রকৌশল ও অন্যান্য সরঞ্জামাদি,
4112305,Firefighting equipment,অগ্নিনির্বাপক সরঞ্জামাদি,
4112306,Laboratory equipment,গবেষণাগার সরঞ্জামাদি,
4112307,Meteorological equipment,আবহাওয়া সম্পর্কিত সরঞ্জামাদি,
4112308,Military hardware,সামরিক যন্ত্রপাতি (hardware),
4112309,Mobile instrument,মোবাইল যন্ত্র,
4112310,Office equipment,অফিস সরঞ্জামাদি,
4112311,Tents and other equipments,তাবু ও অন্যান্য সরঞ্জাম,
4112312,Teaching and learning materials,শিক্ষা ও শিক্ষণ উপকরণ,
4112313,Solar electric panels,সৌরবিদ্যুত প্যানেল,
4112314,Furniture,আসবাবপত্র,
4112315,Medical Machinery,চিকিৎসা যন্ত্রপাতি,
4112316,Other Machineries and equipment,অন্যান্য যন্ত্রপাতি ও সরঞ্জামাদি,
4112317,Cultural equipment,সাংস্কৃতিক উপকরণ,
4112318,Electrical installations,বৈদ্যুতিক স্থাপনা,
4113,Other fixed assets,অন্যান্য স্থায়ী সম্পদ,
41131,Cultivated biological resources,চাষকৃত জৈব সম্পদ,
4113101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
4113102,"Tree, crop, and plant resources yielding repeat products","বৃক্ষ, শস্য ও উদ্ভিজ্জসম্পদ উৎপন্নকারী আবর্তক পণ্য",
41132,Intellectual property products,মেধাসম্পত্তি পণ্য,
4113201,Research and development,গবেষণা ও উন্নয়ন,
4113202,Mineral exploration and evaluation,খনিজ অনুসন্ধান ও মূল্যায়ন,
41133,Computer software and databases,কম্পিউটার সফট্ওয়্যার ও ড্যাটাবেজ,
4113301,Computer software,কম্পিউটার সফট্‌ওয়্যার,
4113302,Databases,ড্যাটাবেজ,
4113303,Website development,ওয়েবসাইট ডেভেলপমেন্ট,
41134,"Entertainment, literary, and artistic originals","মৌলিক বিনোদন, সাহিত্য, ও শৈল্পিক স্বত্ব",
41135,Other intellectual and property products,অন্যান্য মেধা সম্পত্তি পণ্য,
41136,Costs of ownership transfer on nonproduced assets other than land,ভূমি ব্যতীত অউৎপাদিত সম্পদের ওপর মালিকানা স্থানান্তর খরচ,
41137,"Antiquities, monuments, archaeological and historical sites/building","পুরাকীর্তি, স্মৃতিসৌধ, প্রত্নতাত্ত্বিক ও ঐতিহাসিক স্থান/ভবন",
4113701,Antiquities,পুরাকীর্তি,
4113702,Monuments,স্মৃতিসৌধ,
4113703,Archaeological sites/buildings,প্রত্নতাত্ত্বিক স্থান/ভবন,
4113704,Historical sites/buildings,ঐতিহাসিক স্থান/ভবন,
4114,Weapons systems,উইপন সিস্টেম,
41141,Weapons Systems,উইপন সিস্টেম,
4114101,Military Vehicles,সামরিক যান,
4114102,Other equipment,অন্যান্য সরঞ্জাম,
412,Inventories,তালিকাভুক্ত মালামাল (Inventories),
4121,Materials and supplies,উপকরণ ও সরবরাহ,
41211,Public order and safety supplies,জনশৃঙ্খলা ও নিরাপত্তা সামগ্রী সরবরাহ,
4121101,Security materials,নিরাপত্তা সামগ্রী,
41212,Spare parts and other stock,খুচরা যন্ত্রাংশ ও অন্যান্য স্টক,
4121201,Mechanical spare parts,মেকানিক্যাল খুচরা যন্ত্রাংশ,
4121202,Electrical spare parts,ইলেকট্রিক্যাল খুচরা যন্ত্রাংশ,
4121203,Signal and interlocking spare parts,সিগনাল ও ইন্টারলকিং খুচরা যন্ত্রাংশ,
4122,Work in progress,চলমান কাজ,
4123,Finished goods,তৈরি পণ্য,
4124,Goods for resale,পুর্নবিক্রয় সামগ্রী,
41241,Food stuff,খাদ্য দ্রব্য,
4124101,Purchase of rice,চাল ক্রয়,
4124102,Purchase of wheat,গম ক্রয়,
4124103,Purchase of edible oil,ভোজ্য তেল ক্রয়,
4124104,Purchase of corn,ভূট্টা ক্রয়,
4124105,Purchase of other foods,অন্যান্য খাদ্যদ্রব্য ক্রয়,
4125,Military inventories,তালিকাভুক্ত সামরিক মালামাল (Military inventories),
41251,Military inventories,তালিকাভুক্ত সামরিক মালামাল (Military inventories),
4125101,Inventories,তালিকাভুক্ত মালামাল (Inventories),
4126,Relief Inventories,তালিকাভুক্ত ত্রাণ সামগ্রী,
41261,Relief Inventories,তালিকাভুক্ত ত্রাণ সামগ্রী,
4126101,Corrugated sheets,ঢেউটিন,
4126102,Blanket,কম্বল,
4126103,School feeding,স্কুল ফিডিং,
4127,Railway capital suspense,রেলওয়ে মূলধনি সাসপেন্স,
41271,Railway capital suspense (Store),রেলওয়ে মূলধনি সাসপেন্স (স্টোর),
4127101,Store purchage (Railway),স্টোর পারচেজ (রেলওয়ে),
413,Valuables,মূল্যবান দ্রব্যাদি,
4131,Valuables,মূল্যবান দ্রব্যাদি,
41311,Valuables,মূল্যবান দ্রব্যাদি,
4131101,"Museum artifacts, paintings, archives and films","যাদুঘর শিল্পকর্ম, পেইন্টিং, আর্কাইভ ও চলচ্চিত্র",
414,Nonproduced assets,অউৎপাদিত সম্পদ,
4141,Land,ভূমি,
41411,Land,ভূমি,
4141101,Acquisition/purchase of land,ভূমি অধিগ্রহণ/ক্রয়,
4141102,Resettlement of land acquisition,ভূমি অধিগ্রহণজনিত পুর্নবাসন,
4141103,Purchase of land,ভূমি ক্রয়,
4142,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
41421,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
4143,Other naturally occurring assets,প্রাকৃতিকভাবে উৎপন্ন অন্যান্য সম্পদ,
41431,Noncultivated biological resources,অচাষকৃত জৈব সম্পদ,
4143101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
4143102,"Tree, crop, and plant resources yielding repeat products","বৃক্ষ, শস্য ও উদ্ভিজ্জসম্পদ উৎপন্নকারী আবর্তক পণ্য",
41432,Water resources,পানি সম্পদ,
41433,Other natural resources,অন্যান্য প্রাকৃতিক সম্পদ,
4143301,Radio spectra,রেডিও স্পেক্ট্রা,
4143302,Natural resources not elsewhere classified,প্রাকৃতিক সম্পদ যা অন্যত্র শ্রেণিবদ্ধ নয়,
4144,Intangible nonproduced assets,অপরিমাপযোগ্য অউৎপাদিত সম্পদ,
41441,"Contracts, leases, and license","চুক্তি, ইজারা ও লাইসেন্স",
4144101,Marketable operating leases,বিপণনযোগ্য ইজারা পরিচালনা,
4144102,Permits to use natural resources,প্রাকৃতিক সম্পদ ব্যবহারের অনুমতিপত্র,
4144103,Permits to undertake specific activities,নির্দিষ্ট কার্যক্রম গ্রহণের অনুমতিপত্র,
4144104,Entitlement to future goods and services on an exclusive basis,এককভাবে ভবিষ্যতে পণ্য ও পরিসেবা প্রাপ্তির অধিকারপত্র,
41442,Goodwill and marketing assets,সুনাম ও বিপণন সম্পদ,
42,Capital expenditure for project,প্রকল্প মূলধন ব্যয়,
421,Capital expenditure for project,প্রকল্প মূলধন ব্যয়,
4211,Capital expenditure for project,প্রকল্প মূলধন ব্যয়,
42111,Capital expenditure for project,প্রকল্প মূলধন ব্যয়,
4211101,Capital expenditure for project,প্রকল্প মূলধন ব্যয়,
49,Reserve,সংরক্ষিত,
491,Reserve,সংরক্ষিত,
4911,Reserve,সংরক্ষিত,
49111,Reserve,সংরক্ষিত,
4911111,Capital block allocation,মূলধন থোক বরাদ্দ,
4911112,Physical contigency expense,সম্ভাব্য ভৌত ব্যয়,
4911113,Price contigency expense,সম্ভাব্য মূল্য বাবদ ব্যয়,
5,Holding Gains/Losses,স্হিত লাভ/ ক্ষতি,
51,Assets,সম্পদ,
511,Non financial assets,অআর্থিক সম্পদ,
5111,Fixed assets,স্থায়ী সম্পদ,
51111,Buildings and structures,ভবন ও স্থাপনাসমূহ,
5111101,Residential buildings,আবাসিক ভবন,
5111102,Non-residential buildings,অনাবাসিক ভবন,
5111103,Other structures,অন্যান্য স্থাপনা,
5111104,Land improvements,ভূমি উন্নয়ন,
51112,Machinery and equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
5111201,Transport equipment,পরিবহণ সরঞ্জামাদি,
5111202,Machinery and equipment other than transport equipment,পরিবহণ যন্ত্রপাতি ছাড়া অন্যান্য যন্ত্রপাতি ও সরঞ্জাম,
5111203,Machinery and equipment not elsewhere classified,যন্ত্রপাতি ও সরঞ্জাম যা অন্যত্র শ্রেণিবদ্ধ নয়,
51113,Other fixed assets,অন্যান্য স্থায়ী সম্পদ,
5111301,Cultivated biological resources,চাষকৃত জৈব সম্পদ,
5111302,Intellectual property products,মেধাসম্পত্তি পণ্য,
5111303,Computer software and databases,কম্পিউটার সফট্ওয়্যার ও ড্যাটাবেজ,
5111304,"Entertainment, literary, and artistic originals","মৌলিক বিনোদন, সাহিত্য, ও শৈল্পিক স্বত্ব",
5111305,Other intellectual and property products,অন্যান্য মেধা সম্পত্তি পণ্য,
5111306,Costs of ownership transfer on nonproduced assets other than land,ভূমি ব্যতীত অউৎপাদিত সম্পদের ওপর মালিকানা স্থানান্তর খরচ,
51114,Weapons systems,উইপন সিস্টেম,
5111401,Weapons systems,উইপন সিস্টেম,
5112,Inventories,তালিকাভুক্ত মালামাল (Inventories),
51121,Materials and supplies,উপকরণ ও সরবরাহ,
51122,Work in progress,চলমান কাজ,
51123,Finished goods,তৈরি পণ্য,
51124,Goods for resale,পুর্নবিক্রয় সামগ্রী,
5112401,Food stuff,খাদ্য দ্রব্য,
51125,Military inventories,তালিকাভুক্ত সামরিক মালামাল (Military inventories),
5113,Valuables,মূল্যবান দ্রব্যাদি,
51131,Valuables,মূল্যবান দ্রব্যাদি,
5113101,Valuables,মূল্যবান দ্রব্য,
5114,Nonproduced assets,অউৎপাদিত সম্পদ,
51141,Land,ভূমি,
5114101,Land,ভূমি,
51142,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
5114201,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
51143,Other naturally occurring assets,প্রাকৃতিকভাবে উৎপন্ন অন্যান্য সম্পদ,
5114301,Noncultivated biological resources,অচাষকৃত জৈব সম্পদ,
5114302,Water resources,পানি সম্পদ,
5114303,Other natural resources,অন্যান্য প্রাকৃতিক সম্পদ,
51144,Intangible nonproduced assets,অপরিমাপযোগ্য অউৎপাদিত সম্পদ,
5114401,"Contracts, leases, and license","চুক্তি, ইজারা ও লাইসেন্স",
5114402,Goodwill and marketing assets,সুনাম ও বিপণন সম্পদ,
512,Financial assets,আর্থিক সম্পদ,
5121,Domestic financial assets,দেশজ আর্থিক সম্পদ,
51211,Monetary gold and Special Drawing Rights (SDRs),মনিটারি গোল্ড ও এসডিআর,
5121101,Monetary gold,মনিটারি গোল্ড,
5121102,Special drawing rights,স্পেশাল ড্রইং রাইট,
51212,Currency and deposit,মুদ্রা ও জামানত,
5121201,Bangladesh bank deposit,বাংলাদেশ ব্যাংকে জমা,
51213,Advances,অগ্রিম,
5121301,Advances,অগ্রিম,
51214,Debt securities,দেনা অর্থপত্র (Debt securities),
51215,Loans,ঋণ,
5121501,Loan to government employees,সরকারি কর্মচারীদের ঋণ,
5121502,Loan to autonomous bodies,স্বায়ত্বশাসিত সংস্থাকে প্রদত্ত ঋণ,
5121503,Loan to Consolidated Fund,সংযুক্ত তহবিলে দেয় ঋণ,
51216,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
5121601,Equity,সমমূলধন (Equity),
5121602,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
51217,"Insurance, pension, and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
5121701,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
5121702,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
5121703,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
5121704,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
5121705,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
51218,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
5121801,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
5121802,Employee stock options,কর্মচারী স্টক অপশন,
51219,Other accounts receivable,অন্যান্য গৃহীতব্য হিসাব,
5121901,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
5121902,Miscellaneous other accounts receivable,বিবিধ অন্যান্য গৃহীতব্য হিসাব,
5122,Foreign financial assets,বৈদেশিক আর্থিক সম্পদ,
51222,Currency and deposit,মুদ্রা ও জামানত,
51223,Debt securities,দেনা অর্থপত্র (Debt securities),
51224,Loans,ঋণ,
51225,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
5122501,Equity,সমমূলধন (Equity),
5122502,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
51226,"Insurance, pension, and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
5122601,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
5122602,Life insurance and annuity entitlements,জীবনবিমা এবং বার্ষিক এনটাইটেলমেন্ট,
5122603,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
5122604,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
5122605,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
51227,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
5122701,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
51228,Other accounts receivable (Other accounts payable),অন্যান্য গৃহীতব্য হিসাব (অন্যান্য প্রদেয় হিসাব),
52,Liabilities,দায়,
521,Domestic liabilities,অভ্যন্তরীণ দায়,
5211,Currency and deposit,মুদ্রা ও জামানত,
52111,National savings,জাতীয় সঞ্চয়,
52112,Deposits (Interest bearing),জামানত (সুদযুক্ত),
52113,Deposits (Not Interest bearing),জামানত (সুদবিহীন),
5212,Debt securities,দেনা অর্থপত্র (Debt securities),
52121,Treasury bills,ট্রেজারি বিল,
52122,Treasury bonds,ট্রেজারি বণ্ড,
5213,Loans,ঋণ,
52131,Ways and means,উপায় উপকরণ (ways and means),
52132,Borrowing from Public Account,প্রজাতন্ত্রের সরকারি হিসাব থেকে গৃহীত ঋণ,
52133,Bank Loans,ব্যাংক থেকে গৃহীত ঋণ,
5214,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
52141,Equity,সমমূলধন (Equity),
52142,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
5215,"Insurance, pension and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
52151,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
52152,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
52153,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
52154,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
52155,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
52156,Claims of provident funds,প্রভিডেন্ট ফান্ড বাবদ দাবি,
5216,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
52161,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
52162,Employee stock options,কর্মচারী স্টক অপশন,
5217,Other accounts payable,অন্যান্য প্রদেয় হিসাব,
52171,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
52172,Miscellaneous other accounts payable,বিবিধ অন্যান্য দেয় হিসাব,
52173,Other suspense accounts,অন্যান্য সাসপেন্স অ্যাকাউন্ট,
522,Foreign liabilities,বৈদেশিক দায়,
5221,Currency and deposit,মুদ্রা ও জামানত,
5222,Debt securities,দেনা অর্থপত্র (Debt securities),
5223,Loans,ঋণ,
52231,External loans,বৈদেশিক ঋণ,
5224,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
52241,Equity,সমমূলধন (Equity),
52242,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
5225,"Insurance, pension and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
52251,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
52252,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
52253,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
52254,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
52255,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
5226,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
52261,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
52262,Employee stock options,কর্মচারী স্টক অপশন,
5227,Other accounts payable,অন্যান্য প্রদেয় হিসাব,
52271,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
52272,Miscellaneous other accounts payable,বিবিধ অন্যান্য দেয় হিসাব,
6,Volume Changes,ভলিয়্যুম চেঞ্জেজ,
61,Assets,সম্পদ,
611,Non financial assets,অআর্থিক সম্পদ,
6111,Fixed assets,স্থায়ী সম্পদ,
61111,Buildings and structures,ভবন ও স্থাপনাসমূহ,
6111101,Residential buildings,আবাসিক ভবন,
6111102,Non-residential buildings,অনাবাসিক ভবন,
6111103,Other structures,অন্যান্য স্থাপনা,
6111104,Land improvements,ভূমি উন্নয়ন,
61112,Machinery and equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
6111201,Transport equipment,পরিবহণ সরঞ্জামাদি,
6111202,Machinery and equipment other than transport equipment,পরিবহণ যন্ত্রপাতি ছাড়া অন্যান্য যন্ত্রপাতি ও সরঞ্জাম,
6111203,Machinery and equipment not elsewhere classified,যন্ত্রপাতি ও সরঞ্জাম যা অন্যত্র শ্রেণিবদ্ধ নয়,
61113,Other fixed assets,অন্যান্য স্থায়ী সম্পদ,
6111301,Cultivated biological resources,চাষকৃত জৈব সম্পদ,
6111302,Intellectual property products,মেধাসম্পত্তি পণ্য,
6111303,Computer software and databases,কম্পিউটার সফট্ওয়্যার ও ড্যাটাবেজ,
6111304,"Entertainment, literary, and artistic originals","মৌলিক বিনোদন, সাহিত্য, ও শৈল্পিক স্বত্ব",
6111305,Other intellectual and property products,অন্যান্য মেধা সম্পত্তি পণ্য,
6111306,Costs of ownership transfer on nonproduced assets other than land,ভূমি ব্যতীত অউৎপাদিত সম্পদের ওপর মালিকানা স্থানান্তর খরচ,
61114,Weapons systems,উইপন সিস্টেম,
6111401,Weapons systems,উইপন সিস্টেম,
6112,Acquisition of inventories,তালিকাভুক্ত মালামাল অধিগ্রহণ,
61121,Materials and supplies,উপকরণ ও সরবরাহ,
61122,Work in progress,চলমান কাজ,
61123,Finished goods,তৈরি পণ্য,
61124,Goods for resale,পুনর্বিক্রয় সামগ্রী,
6112401,Food stuff,খাদ্য দ্রব্য,
61125,Military inventories,তালিকাভুক্ত সামরিক মালামাল (Military inventories),
6113,Acquisition of Valuables,মূল্যবান দ্রব্য অধিগ্রহণ,
61131,Valuables,মূল্যবান দ্রব্যাদি,
6113101,Valuables,মূল্যবান দ্রব্যাদি,
6114,Acquisition of nonproduced assets,অউৎপাদিত সম্পদ অধিগ্রহণ,
61141,Land,ভূমি,
6114101,Land,ভূমি,
61142,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
6114201,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
61143,Other naturally occurring assets,প্রাকৃতিকভাবে উৎপন্ন অন্যান্য সম্পদ,
6114301,Noncultivated biological resources,অচাষকৃত জৈব সম্পদ,
6114302,Water resources,পানি সম্পদ,
6114303,Other natural resources,অন্যান্য প্রাকৃতিক সম্পদ,
61144,Intangible nonproduced assets,অপরিমাপযোগ্য অউৎপাদিত সম্পদ,
6114401,"Contracts, leases, and license","চুক্তি, ইজারা ও লাইসেন্স",
6114402,Goodwill and marketing assets,সুনাম ও বিপণন সম্পদ,
612,Financial assets,আর্থিক সম্পদ,
6121,Domestic financial assets,দেশজ আর্থিক সম্পদ,
61211,Monetary gold and Special Drawing Rights (SDRs),মনিটারি গোল্ড ও এসডিআর,
6121101,Monetary gold,মনিটারি গোল্ড,
6121102,Special drawing rights,স্পেশাল ড্রইং রাইট,
61212,Currency and deposit,মুদ্রা ও জামানত,
